product_id,url,name,company,function_code,primary_function
10533,http://www.scholastic.com,scholastic,scholastic inc,LC ,  resources & references 
10650,http://www.loc.gov,library of congress,library of congress,LC ,  resources & reference
10745,https://wonderopolis.org,wonderopolis,national center for families learning,LC , study tools 
11069,http://www.mrdonn.org/index.html,mr. donn,mrdonn.org,LC ,  resources & reference
11206,http://www.google.com/earth/,google earth,google llc,LC ,  resources & reference
11237,http://www.online-stopwatch.com/,online-stopwatch.com,online-stopwatch.com,LC ,  resources & reference
11286,https://abcnews.go.com/?cid=marketing_search_ABC%20News%20-%20Branded%20General%20-%20BMM,abc news,abc digital,LC ,  resources & reference
11313,http://toytheater.com,toy theater,toy theater,LC ,  resources & reference 
11406,http://www.wyzant.com,wyzant,wyzant,LC , study tools 
11585,https://www-k6.thinkcentral.com/ePC/start.do,think central,houghton mifflin harcourt,LC , digital learning platforms
11910,https://www.pewresearch.org/,pew research center,pew research center ,LC ,  resources & reference 
12803,http://www.slideshare.net/,slideshare,linkedin,LC ,  resources & reference
12816,https://www.turtlediary.com/,turtle diary,turtlediary llc,LC ,  resources & reference 
13117,https://www.splashmath.com,splashlearn,studypad inc.,LC , digital learning platforms
13282,https://www.schoolspecialty.com/,school specialty,school specialty inc,LC ,  resources & references 
13496,http://www.wikipedia.org/,wikipedia,the wikimedia foundation,LC ,  resources & reference 
13699,http://www.weebly.com,weebly,weebly,SDO ,  analytics & reporting
13945,https://sched.com/,sched,sched llc,CM , classroom engagement & instruction 
13983,http://www.facebook.com/,facebook,facebook,MULTI , other
14124,http://www.tumblr.com/,tumblr,tumblr ,MULTI , other
14168,http://dictionary.com,dictionary.com,dictionary.com,LC ,  resources & reference 
14769,http://www.spellingcity.com/,vocabulary spelling city,vocabularyspellingcity,LC , digital learning platforms
15225,http://www.merriam-webster.com/,dictionary - merriam-webster,merriam-webster,LC ,  resources & reference 
15254,http://appinventor.mit.edu/explore/,mit app inventor,massachusetts institute of technology,LC , content creation & curation
16164,https://www.nytimes.com,nytimes.com,the new york times,LC ,  resources & reference
16401,https://www.pbs.org/,pbs,pbs,LC ,  resources & reference
16406,http://translate.google.com/,google translate,google llc,LC , study tools
16468,http://www.archives.gov/,national archives,united states national archives,LC ,  resources & reference 
16633,http://www.cnn.com/cnn10,cnn student news,cable news network,LC ,  resources & reference
16753,http://www.flocabulary.com/,flocabulary,flocabulary,LC , digital learning platforms
17182,http://www.icivics.org/,icivics,icivics inc,LC ,  resources & reference
17920,https://beinternetawesome.withgoogle.com/en_us/interland,interland,google llc,LC ,  resources & reference
17941,https://www.kidsa-z.com/main/Login,kids a-z,lazel inc.,LC , digital learning platforms
18090,https://minecraft.net/en-us/,minecraft,microsoft,LC ,  resources & reference 
18663,http://www.adaptedmind.com,adaptedmind,gloworld,LC , digital learning platforms
18697,https://myap.collegeboard.org/login,college board ap classroom,the college board,LC , study tools 
18904,http://www.instructables.com/,instructables," autodesk, inc",LC ,  resources & reference
18982,https://www.gotomeeting.com/,gotomeeting,logmein,CM , virtual classroom 
19044,https://fligprid.com,flipgrid,flipgrid,LC , content creation & curation
19181,http://noodletools.com/,noodletools,noodletools,LC , study tools
19184,http://pearsoneasybridge.com/,savvas easybridge,savvas learning company | formerly pearson k12 learning,SDO ," admissions, enrollment & rostering"
19334,http://www.enchantedlearning.com/,enchanted learning,enchanted learning,LC ,  resources & reference
19750,https://whiteboard.fi,whiteboard.fi,whiteboard.fi,LC , content creation & curation
20069,http://www.schoology.com/,schoology,schoology,SDO , learning management systems (lms)
20594,http://www.quill.org/,quill,quill.org,LC , study tools
20619,https://doodle.com/,doodle,doodle ltd,CM , classroom engagement & instruction 
20677,https://www.remove.bg,remove.bg,kaleido ai gmbh,LC ,  resources & reference
21298,https://www.explorelearning.com/index.cfm?method=cCorp.dspAbout,explorelearning gizmos,"explorelearning, llc",LC , digital learning platforms
21650,https://www.musictheory.net/,music theory,musictheory.net,LC , study tools
